ID,TAXANR,PRNAVN,PRNAVN1,GNAVN,NAVN,AUTNR,AUTHOR,AUTSTAT,TAXATYPE,SYNONYMNR,GNR,GYLDIG,PREVTAXA
11467,11407,Pseudoroegneria spicata,Pseudoroegneria spicata,Pseudoroegneria spicata,spicata,3645,(Pursh) Á.Löve,,A,0,11407,TRUE,11406
11468,11408,Festuca spicata,Festuca spicata,Pseudoroegneria spicata,spicata,67,Pursh,,A,11407,11407,FALSE,2541
11469,11409,Agropyron spicatum,Agropyron spicatum,Pseudoroegneria spicata,spicatum,3646,(Pursh) Scribn. & J.G.Sm.,,A,11407,11407,FALSE,2592
11470,11410,Elymus spicatus,Elymus spicatus,Pseudoroegneria spicata,spicatus,3647,(Pursh) Gould,,A,11407,11407,FALSE,2605
11471,11411,Pseudoroegneria strigosa,Pseudoroegneria strigosa,Pseudoroegneria strigosa,strigosa,3648,(M.Bieb.),,A,0,11411,TRUE,11406
11472,11412,Bromus strigosus,Bromus strigosus,Pseudoroegneria strigosa,strigosus,33,M.Bieb.,,A,11411,11411,FALSE,2562
11473,11413,Elytrigia strigosa,Elytrigia strigosa,Pseudoroegneria strigosa,strigosa,3649,(M.Bieb.) Nevski,,A,11411,11411,FALSE,2596
11474,11414,Pseudoroegneria strigosa ssp. jacutorum,Pseudoroegneria strigosa ssp. jacutorum,Pseudoroegneria strigosa ssp. jacutorum,jacutorum,3650,(Nevski),,S,0,11414,TRUE,11411
11475,11415,Agropyron jacutorum,Agropyron jacutorum,Pseudoroegneria strigosa ssp. jacutorum,jacutorum,560,Nevski,,A,11414,11414,FALSE,2592
11476,11416,Elytrigia jacutorum,Elytrigia jacutorum,Pseudoroegneria strigosa ssp. jacutorum,jacutorum,2517,(Nevski) Nevski,,A,11414,11414,FALSE,2596
11477,11417,Elytrigia strigosa ssp. jacutorum,Elytrigia strigosa ssp. jacutorum,Pseudoroegneria strigosa ssp. jacutorum,jacutorum,3625,(Nevski) Tzvelev,,S,11414,11414,FALSE,11413
8027,8027,Pseudotsuga,Pseudotsuga,Pseudotsuga,Pseudotsuga,482,Carr.,,G,0,8027,TRUE,118
8066,8028,Pseudotsuga menziesii,Pseudotsuga menziesii,Pseudotsuga menziesii,menziesii,6112,(Mirb.) Franco,,A,0,8028,TRUE,8027
8067,8029,Pseudotsuga douglasii,Pseudotsuga douglasii,Pseudotsuga menziesii,douglasii,746,(Lindl.) Carr.,,A,8028,8028,FALSE,8027
8068,8030,Pseudotsuga taxifolia,Pseudotsuga taxifolia,Pseudotsuga menziesii,taxifolia,6113,Britton nom.illeg.,,A,8028,8028,FALSE,8027
11145,11131,Ptarmica,Ptarmica,Ptarmica,Ptarmica,3145,Mill.,,G,0,11131,TRUE,2003
4574,4548,Pteretis,Pteretis,Pteretis,Pteretis,56,Raf.,,G,0,4548,TRUE,73
8944,8903,Pteridaceae,Pteridaceae,Pteridaceae,Pteridaceae,0,,,F,0,8903,TRUE,0
63,50,Pteridium,Pteridium,Pteridium,Pteridium,1072,Gled. ex Scop.,,G,0,50,TRUE,49
64,51,Pteridium aquilinum,Pteridium aquilinum,Pteridium aquilinum,aquilinum,2358,(L.) Kuhn,,A,0,51,TRUE,50
3039,3039,Pteris aquilina,Pteris aquilina,Pteridium aquilinum,aquilina,1,L.,,A,51,51,FALSE,3038
4333,4333,Eupteris aquilina,Eupteris aquilina,Pteridium aquilinum,aquilina,437,(L.) Newm.,,A,51,51,FALSE,4332
